14:06:42.791 INFO  Delay for 30 second(s) 
14:06:42.792 INFO  Landmine Thrusters 50 lbs for 15 second(s) 
14:06:42.792 INFO  Rest for 20 second(s) 
14:06:42.793 INFO  Hang Situps for 15 second(s) 
14:06:42.793 INFO  Rest for 20 second(s) 
14:06:42.794 INFO  Landmine Thrusters 50 lbs for 15 second(s) 
14:06:42.794 INFO  Rest for 20 second(s) 
14:06:42.794 INFO  Hang Situps for 15 second(s) 
14:06:42.795 INFO  Rest for 20 second(s) 
14:06:42.795 INFO  Landmine Thrusters 50 lbs for 15 second(s) 
14:06:42.796 INFO  Rest for 20 second(s) 
14:06:42.796 INFO  Hang Situps for 15 second(s) 
14:06:42.797 INFO  Rest for 20 second(s) 
14:06:42.797 INFO  Landmine Thrusters 50 lbs for 15 second(s) 
14:06:42.797 INFO  Rest for 20 second(s) 
14:06:42.798 INFO  Hang Situps for 15 second(s) 
14:06:42.798 INFO  Rest for 20 second(s) 
14:06:42.798 INFO  Squat Jumps for 15 second(s) 
14:06:42.799 INFO  Rest for 20 second(s) 
14:06:42.799 INFO  Push Ups for 15 second(s) 
14:06:42.800 INFO  Rest for 20 second(s) 
14:06:42.800 INFO  Squat Jumps for 15 second(s) 
14:06:42.801 INFO  Rest for 20 second(s) 
14:06:42.801 INFO  Push Ups for 15 second(s) 
14:06:42.802 INFO  Rest for 20 second(s) 
14:06:42.803 INFO  Squat Jumps for 15 second(s) 
14:06:42.804 INFO  Rest for 20 second(s) 
14:06:42.805 INFO  Push Ups for 15 second(s) 
14:06:42.806 INFO  Rest for 20 second(s) 
14:06:42.807 INFO  Squat Jumps for 15 second(s) 
14:06:42.808 INFO  Rest for 20 second(s) 
14:06:42.809 INFO  Push Ups for 15 second(s) 
14:06:42.809 INFO   
